id,name,origin,height,weight,life_span,temperament,health
12,Beagle,England,"13""",18-30 lb, 12–15 years,"One of the most amiable hounds, the Beagle was originally bred to be part of a pack and needs companionship, whether human or canine. This dog loves to explore the outdoors and is an enthusiastic trailer. Given adequate exercise, the Beagle is a calm, tractable house pet. Beagles tend to be excellent with children, gentle, incredibly tolerant, and always ready to join in a game or adventure. This is an independent breed, however, and may run off if a trail beckons. Beagles bark and howl.","|Major concerns: intervertebral disk disease, CHD|Minor concerns: glaucoma, epilepsy, CPRA, hypothyroidism, patellar luxation, chondrodysplasia, cherry eye, distichiasis, KCS|Occasionally seen: deafness, hemophilia A, cataract, demodicosis, umbilical hernia, Musladin-Leuke Syndrome (MLS)|Suggested tests: hip, eye, (thyroid), DNA for MLS|Life span: 12–15 years"
13,Bloodhound,"Belgium, England","23-27""",80-90 lb, 7–10 years,"For all their calm manners at home, Bloodhounds are tireless trailers once on the track. They are tough, stubborn, and independent, yet are so gentle and placid that they are extremely trustworthy around children—although they may not be playful enough for some children’s needs. Nonetheless, they are not the lazy ol’ hound dog portrayed in folklore but instead active, playful companions. Although not the easiest breed to train for traditional obedience, Bloodhounds are exceptionally easy to train in tasks involving trailing. The Bloodhound is reserved with strangers.","|Major concerns: ectropion, entropion, gastric torsion, otitis externa, skin-fold dermatitis, CHD, elbow dysplasia|Minor concerns: hypothyroidism|Occasionally seen: degenerative myelopathy (DM)|Suggested tests: hip, elbow, (eye), thyroid, cardiac, (DM)|Life span: 7–10 years"
14,Bluetick,United States,"21-27""",45-80 lb, 11 to 13 years,"Friendly, adventurous, independent, and strong-willed, the Bluetick is a generally laid-back but not overly obedient companion. Notorious counter surfers and escape artists, they like to follow their nose to food or quarry—and will pretend to be deaf to pleas to stop. Their easy going nature makes them a friend to all, enjoying the company of strangers, other dogs, and even other animals (if raised with them). They enjoy baying—loudly— when excited.","|Major concerns: none|Minor concerns: none|Occasionally seen: CHD, ear infections, lysosomal storage disease|Suggested tests: (hip)|Life span: 11 to 13 years"
15,Black-And-Tan Coonhound,United States,"23-25""",55-75 lb, 10–12 years,"Not the prototypical member of the household, the Black and Tan Coonhound, nonetheless, makes an exemplary pet. This dog is mellow, amiable, calm, and unobtrusive indoors. Outdoors, this breed can be difficult, if not impossible, to turn from a track after trailing a scent. As befitting a dog with this heritage, the Coonhound is strong, independent, and stubborn. While gentle and tolerant with children, but they may be too independent to satisfy a playful child. They are reserved with strangers. They may bay and howl.","|Major concerns: CHD|Minor concerns: ectropion, hypothyroidism|Occasionally seen: hemophilia B, elbow dysplasia|Suggested tests: hip, (thyroid), eye, cardiac, (elbow)|Life span: 10–12 years"
16,Walker Hound,United States,"20-27""",45-65 lb, 12–13 years,"The Treeing Walker Coonhound is a fairly energetic dog that often loves to hike and use their nose. They have a tendency to become oblivious to calls when they’ve found an interesting scent.  Treeing Walker Coonhounds make excellent companions and members of the household. They are often loving and eager to please and tend get along well with everyone: strangers, dogs, and most other pets. They are not known for their obedience inclination. Their bark can be quite loud.",|Major concerns: none|Minor concerns: none|Occasionally seen: CHD|Suggested tests: hip|Life span: 12–13 years
17,English Foxhound,Great Britain,"23-27""",55-75 lb, 10–13 years,"The English Foxhound makes a stately family member, and desires human or canine companionship. They usually get along well with horses, dogs, children, and other pets. They are avid sniffers and trailers, however, and need daily exercise in a safe area. This breed is tolerant, amiable, and gentle, even though they are not very demonstrative. Most are reserved with strangers. They may not be well suited for city life. They bay.","|Major concerns: none|Minor concerns: none|Occasionally seen: CHD, renal disease|Suggested tests: (hip)|Life span: 10–13 years"
18,Redbone,United States,"21-27""",45-65 lb, 12–14 years,"Redbone Coonhounds are generally easygoing, gentle dogs that don’t let much bother them. They want to be with their people, but aren’t clingy or “in your face.” Redbone Coonhounds are often eager to please but can become bored with formal training. They are active when on the hike, but quiet inside. Their passion is to follow their nose, and once their nose hits a scent they might be oblivious to much else. Redbone Coonhounds often get along well with people, children, and dogs, but may or may not do well with small pets.",|Major concerns: none|Minor concerns: none|Occasionally seen: none|Suggested tests: (hip)|Life span: 12–14 years
19,Borzoi,Russia,"28-30""",60-105 lb, 10–12 years,"A breed of quiet elegance, the Borzoi exemplifies the well-mannered family member indoors. Outdoors, they race with wild abandon, and will chase any small animal that runs. They are independent but very sensitive. Although generally good with children, they may not be playful enough to satisfy some children. Some can be timid. They are reserved with strangers.","|Major concerns: gastric torsion|Minor concerns: cardiomyopathy, hypothyroidism|Occasionally seen: degenerative myelopathy (DM)|Suggested tests: thyroid, cardiac, DM|Life span: 10–12 years|Note: sensitive to barbiturate anesthesia"
20,Irish Wolfhound,Ireland,"30-32""",105-120 lb, 5–7 years,"Known as the gentle giant, this is an apt description of this soft-natured, easygoing breed. The Irish Wolfhound is calm around the house, sensitive, patient, easygoing, and sweet. Despite its great size, this breed is good with children, pets, and other dogs. He is friendly with strangers, and courageous when the need arises.","|Major concerns: gastric torsion, elbow dysplasia, osteosarcoma|Minor concerns: cardiomyopathy, OCD, osteosarcoma, CHD|Occasionally seen: vWD, PRA, megaesophagus|Suggested tests: hip, cardiac, eye, elbow|Life span: 5–7 years|Note: sensitive to barbiturate anesthesia; prone to tail-tip injuries"
21,Italian Greyhound,Italy,"13-15""",7-14 lb, 12–15 years,"A sighthound in a small package, the Italian Greyhound shares its larger relatives’ characteristics. This dog loves to run and chase, but is extremely gentle and sensitive. Reserved, often timid, with strangers, the Italian Greyhound is devoted to its family: good with children, other dogs, and pets. Care should be taken, as this small breed can be easily injured by boisterous children and larger dogs.","|Major concerns: periodontal disease|Minor concerns: epilepsy, leg fractures, patellar luxation, PRA|Occasionally seen: color dilution alopecia, cataract, Legg-Perthes, hypothyroidism, portacaval shunt|Suggested tests: knee, eye, hip, thyroid|Life span: 12–15 years|Note: The breed is susceptible to leg and tail fractures. It shares the sighthound sensitivity to barbiturate anesthesia."
22,Whippet,England,"18-22""",20-40 lb, 12–15 years,"Perhaps the most outgoing and amenable of the sighthounds, the Whippet makes an ideal pet for people who want a somewhat quiet family member and devoted companion. The Whippet is often very gentle with children. They are calm indoors but loves to run and play in the yard. They are often very sensitive (both physically and mentally) and need to be treated and handled accordingly.","|Major concerns: none|Minor concerns: none|Occasionally seen: deafness, some eye defects|Suggested tests: eye, cardiac, BAER|Life span: 12–15 years|Note: sensitive to barbiturate anesthesia; prone to lacerations"
23,Ibizan Hound,Ibiza (Balearic Islands),"22.5-27.5""",45-50 lb, 12–14 years,"The graceful Ibizan Hound retains great hunting instinct, using its acute senses of hearing and smell, and still relishes the opportunity to chase anything that moves.  For this reason, the Ibizan should be exercised in safe areas or on-leash. Unlike most sighthounds, this dog will often bark when chasing and playing. The Ibizan Hound is reserved with strangers and some can be timid. A gentle, mild-mannered, even-tempered dog, the Ibizan is a quiet and loyal house pet.","|Major concerns: none|Minor concerns: seizures, allergies|Occasionally seen: deafness, cataract, axonal dystrophy, retinal dysplasia|Suggested tests: eye, (hip), (BAER), (thyroid)|Life span: 12–14 years|Note: sensitive to barbiturate anesthesia"
24,Norwegian Elkhound,Norway,"19.5-20.5""",48-55 lb, 10–12 years,"The Norwegian Elkhound combines traits of hounds and spitz-like dogs, resulting in a breed that is bold, playful, independent, alert, and boisterous. This is a dog ready for adventure and is happiest if that adventure takes place outdoors in cold weather. Daily exercise is needed to prevent frustration or destructive behavior.  Friendly with strangers, this dog may still quarrel with unfamiliar dogs. Families thinking of adding an Elkhound to their household should expect to train this playful dog not to pull on a leash, and be tolerant of barking.","|Major concerns: CHD|Minor concerns: hot spots, kidney disease (renal dysplasia), sebaceous cysts|Occasionally seen: Fanconi syndrome, PRA, patellar luxation, intracutaneous cornifying epithelioma|Suggested tests: hip, eye, (Fanconi), (knee), (PRA)|Life span: 10–12 years"
25,Otterhound,England,"24-27""",80-115 lb, 10–13 years,"As a packhound, the Otterhound is amiable with other dogs. Once on the trail, it is determined, single-minded, and nearly impossible to dissuade from its task. Even though the Otterhound’s job was not to kill its quarry, it will nonetheless give chase to small animals. The Otterhound loves to sniff, trail, and, especially, swim. At home this dog is boisterous, amiable, and easygoing (although stubborn), affectionate with the family, and quite good with children. Because the Otterhound was never traditionally kept as a pet, the dog is not among the most responsive of breeds. However, the Otterhound is a low-key dog that is a quiet companion.","|Major concerns: CHD, gastric torsion|Minor concerns: elbow dysplasia, CTP|Occasionally seen: epilepsy, thrombopathy|Suggested tests: hip, (elbow), DNA for thrombopathy|Life span: 10–13 years"
26,Saluki,Middle East,"23-28""",35-65 lb, 12–14 years,"The Saluki tends to be aloof and reserved with strangers. They are often extremely devoted to their own family, but are not particularly out-going. They are often very gentle with children, but may not be playful enough to satisfy most children. The Saluki can be extremely sensitive and does not take to rough and tumble play.  They can also be shy. They tend to be very quiet and sedate inside, seeking out a soft warm spot. Outside, they are capable of running in great circles at tremendous speeds and may try to chase small animals or fast-moving objects. They may not come when called.","|Major concerns: hemangiosarcoma|Minor concerns: cardiomyopathy|Occasionally seen: hypothyroidism|Suggested tests: cardiac, thyroid|Life span: 12–14 years|Note: sensitive to barbiturate anesthesia"
27,Scottish Deerhound,Scotland,"30-32""",75-110 lb, 7–9 years,"The Scottish Deerhound is typically mellow, low-key, and easygoing, a gracious and well-mannered member of the family. Outdoors, they loves to run and may try chase anything that moves. Indoors, they needs plenty of room to stretch on a soft surface. They are often independent but willing to please; they can be extremely sensitive. They can be amiable toward but often reserved with strangers. They can be good with children, other dogs, and usually other pets, if properly socialized and introduced.","|Major concerns: gastric torsion, cardiomyopathy, osteosarcoma|Minor concerns: cystinuria, atopy (allergies)|Occasionally seen: hypothyroidism, neck pain, factor VII deficiency|Suggested tests: cardiac, (cystinuria), factor VII|Life span: 7–9 years|Note: sensitive to barbiturate anesthesia"
28,Weimaraner,Germany,"23-27""",55-90 lb, 10–13 years,"The Weimaraner is bold and rambunctious, sometimes too much so for small children. They love to run and hike and can become frustrated and destructive if not provided with enough physical activity. The Weimaraner may not be good with small pets unless properly socialized with them. They can be stubborn or headstrong but often learn easily. They function best with an active family who enjoys outdoor activities and wants a fun-loving companion. Some have described them as needing much attention.","|Major concerns: gastric torsion|Minor concerns: spinal dysraphism, CHD, entropion, distichiasis, vWD, hemophilia A, hypertrophic osteodystrophy*|Occasionally seen: ununited anconeal process, eversion of nictitating membrane, PRA, dwarfism, tricuspid valve dysplasia, persistent right aortic arch, hypothyroidism|Suggested tests: hip, eye, thyroid, (vWD)|Life span: 10–13 years"
29,Staffordshire Bullterrier,England,"14-16""",24-38 lb, 12–14 years,"The Staffordshire Bull Terrier is a fun-loving character that loves playing with their family and friends. They are typically playful, companionable, amiable, docile, and generally responsive to their family. Their love of a good game is rivaled only by their need for human companionship. They are also characteristically friendly toward strangers. Some can be strong willed. They can be fearless and tenacious. They may not do well around strange dogs or sometimes even household dogs that are assertive. They are generally very good with children; although usually gentle, some can be rambunctious. In the United Kingdom the Staffordshire Bull Terrier is known as the Nanny Dog, in reference to their eagerness and ability to get along with children in the home.","|Major concerns: CHD|Minor concerns: none|Occasionally seen: cataract, L2 HGA|Suggested tests: hip, eye, DNA for L2 HGA, DNA for cataract|Life span: 12–14 years|Note: CHD seldom causes problems or symptoms"
30,American Staffordshire Terrier,United States,"17-19""",57-67 lb, 12–14 years,"Typically docile and playful with their family, American Staffordshire Terriers are also generally friendly toward strangers as long as their family is present. They are generally very good with children. They are a protective breed and should be introduced to new dogs carefully. They are stubborn, tenacious, and fearless. For all of their tough persona, the most important thing in life to this breed is their family’s fond attention.","|Major concerns: CHD, cerebellar ataxia, PRA|Minor concerns: elbow dysplasia, heart disease, hypothyroidism|Occasionally seen: cruciate ligament rupture, allergies, hypothyroidism|Suggested tests: hip, cardiac, (elbow), thyroid, eye, DNA for ataxia|Life span: 12–14 years|Note: CHD seldom causes problems or symptoms in this breed."
31,Bedlington Terrier,England,"15.5-16.5""",17-23 lb, 12–14 years,"The Bedlington is among the softer terriers, not only in looks and feel but in temperament. This breed is companionable, demonstrative, and loyal. They enjoy creature comforts and are fairly quiet. Even though they will seldom initiate a fight, Bedlingtons will not allow themselves to be intimidated by other dogs and can be a scrappy fighter when pushed. They will give chase to small animals outdoors, but can usually coexist with them indoors.","|Major concerns: copper toxicosis|Minor concerns: retinal dysplasia, renal cortical hypoplasia, distichiasis|Occasionally seen: patellar luxation|Suggested tests: DNA for copper toxicosis, liver biopsy, eye, knee|Life span: 12–14 years"
32,Border Terrier,Border of Scotland and England,"10-11""",11.5-15.5 lb, 12–15 years,"The Border is one of the most amiable and tractable of the Terrier group. This breed is inquisitive, busy, friendly, and biddable. They do like to track and can be independent, ingredients that make for a dog that may tend to roam if given the chance. Borders are generally good with other dogs and cats, but not with small animals. They are very good with children and make a good companion for people of all ages. They dig, and some bark. Some are talented escape artists.","|Major concerns: none|Minor concerns: patellar luxation|Occasionally seen: CHD, heart defects|Suggested tests: hip, cardiac, knee, (eye)|Life span: 12–15 years"
33,Kerry Blue Terrier,Ireland,"17.5-19.5""",33-40 lb, 12–15 years,"A versatile terrier, the Kerry Blue’s personality is many-faceted, from hunting and herding, to being just be a fun-loving companion. This dog needs daily mental and physical activity in a safe area. The Kerry Blue loves to run, chase, explore, play, and dig. The dog is well mannered indoors. The breed can be protective toward strangers, and may be aggressive toward other dogs and small animals, yet greets verified friends with great enthusiasm. This breed is clever and independent, and some may tend to bark.","|Major concerns: cerebellar abiotrophy|Minor concerns: cataract, spiculosis, hair follicle tumors, entropion, KCS, CHD, otitis externa|Occasionally seen: retinal folds, clotting factor XI deficiency, vWD, degenerative myelopathy (DM)|Suggested tests: eye, hip, (vWD), (factor XI), (DM)|Life span: 12–15 years"
34,Irish Terrier,Ireland,"18""",25-27 lb, 12–15 years,"Called the daredevil of Dogdom, the Irish Terrier is brash, bold, assertive, playful, inquisitive, independent, and strong-willed. This breed is ever ready for action and adventure. The Irish Terrier can be aggressive toward other dogs and small animals and tends to be reserved with strangers. This breed likes to chase, run, and explore, and needs daily physical and mental exercise in a safe area. Given sufficient exercise, The Irish Terrier is surprisingly well-mannered and dignified indoors–a loyal and entertaining companion.","|Major concerns: none|Minor concerns: urinary stones|Occasionally seen: cataract, hypothyroidism|Suggested tests: none|Life span: 12–15 years"
35,Norfolk Terrier,England,"9-10""",11-12 lb, 13–15 years,"Feisty, bold, inquisitive, game, scrappy, stubborn, and independent, the Norfolk is all terrier. It has been called a “demon” in the field, and it loves to hunt, dig, and investigate. It must be exercised in a safe area. It is clever and amiable but strong willed.","|Major concerns: CHD|Minor concerns: allergies|Occasionally seen: patellar luxation|Suggested tests: hip, knee, cardiac|Life span: 13–15 years"
36,Norwich Terrier,England,"10""",12 lb, 13–15 years,"The Norwich Terrier, like the Norfolk, is a true terrier at heart, always ready for adventure and excitement. This dog may chase small animals, given the breed’s hunting background. The Norwich is a pert, independent, amusing—but sometimes challenging—companion, best suited for people with a sense of adventure and humor.","|Major concerns: CHD|Minor concerns: allergies, seizures|Occasionally seen: patellar luxation, cheyletiella mites, deafness, cataract|Suggested tests: hip, knee, eye|Life span: 13–15 years"
37,Yorkshire Terrier,England,"8-9""",7 lb, 14–16 years,"The Yorkshire Terrier seems oblivious of their small size, ever eager for adventure and sometimes even trouble! They are busy, inquisitive, bold, stubborn, and can be assertive with strange dogs and small pets. Although some tend to bark a lot, they can easily be taught not to do so through training.","|Major concerns: none|Minor concerns: patellar luxation|Occasionally seen: portacaval shunt, PRA, tracheal collapse, Legg-Perthes|Suggested tests: knee, eye, (hip), (thyroid)|Life span: 14–16 years"
38,Wire-Haired Fox Terrier,England,"15.5""",15-19 lb, 10–13 years,"A true “live-wire,” the Wire Fox Terrier is always up for adventure. This breed lives to play, explore, run, hike, and chase. They can be mischievous and independent and may dig and bark. They are usually fairly reserved with strangers. The Wire has a reputation for being somewhat scrappier with other dogs when compared to the Smooth.","|Major concerns: none|Minor concerns: lens luxation, distichiasis, cataract, Legg–Perthes|Occasionally seen: deafness, patellar luxation|Suggested tests: (eye), cardiac, knee|Life span: 10–13 years"
39,Lakeland Terrier,England,"13.5-14.5""",17 lb,12–16 years,"The spunky Lakeland makes the most of every day, always busy investigating, playing, running, and chasing. Given daily exercise in a safe area, this breed settles down in the home and makes an entertaining and endearing house pet. The Lakeland is reserved with strangers and is often aggressive toward other dogs and small animals. Clever and independent, this dog can also be mischievous. The Lakeland Terrier is nonetheless sensitive and must be trained with patience as well as a sense of humor.","|Major concerns: none |Minor concerns: lens luxation, distichiasis |Occasionally seen: Legg–Perthes, vWD |Suggested tests: eye, (vWD) |Life span: 12–16 years"
40,Sealyham Terrier,Wales,"10.5""",23-24 lb, 11–13 years,"One of the calmer terriers, the Sealyham is nonetheless ready for action, always happy to investigate, dig, or give chase. They are generally friendly, playful, and outgoing. The Sealyham Terrier can be reserved with strangers, but devoted to their family. They can be stubborn, independent, and can dig if bored.","|Major concerns: none|Minor concerns: retinal dysplasia, lens luxation|Occasionally seen: deafness|Suggested tests: eye|Life span: 11–13 years"
41,Airedale,England,"23""",55 lb,10–13 years,"Among the most versatile of terriers, the Airedale is bold, playful, and adventurous and is a lively yet protective companion. This breed is intelligent, but often stubborn and headstrong. Some can be domineering, but most are biddable, reliable, and responsive to their family’s wishes. Airedales make good family pets as long as they get daily mental and physical exercise. They like to be the head dog and may not do well when another dog challenges that position, although usually get along well with smaller dogs.","|Major concerns: CHD|Minor concerns: gastric torsion, hypothyroidism|Occasionally seen: colonic disease|Suggested tests: hip, thyroid • Life span: 10–13 years"
42,Cairn,Scotland,"9.5-10""",13-14 lb, 12–14 years,"The Cairn is the essence of terrier; plucky, spirited, bold, inquisitive, hardy, clever, stubborn, and scrappy. Cairns are responsive to their family’s wishes, however, and try to please; in fact, they are surprisingly sensitive. These dogs can be good pets as long as they are given daily physical and mental exercise in a safe area. They enjoy playing with children, but can be assertive with other dogs and chases small animals, so introduce carefully. They love to sniff, explore, and hunt. They dig; some bark.","|Major concerns: none|Minor concerns: portacaval shunt, glaucoma (in association with or without ocular melanosis), CMO|Occasionally seen: GCL, patellar luxation, congenital heart defects|Suggested tests: GCL, knee, eye, cardiac|Life span: 12–14 years"
43,Australian Terrier,Australia,"9-10""",8-11 lb, 11–14 years,"The Silky Terrier is no mellow lapdog. They are often bold, feisty, inquisitive, and playful, ever ready for action—a terrier at heart. They can be assertive toward other dogs or pets. They are often clever, but can tend to be stubborn, and can be mischievous. They tend to bark a lot.","|Major concerns: none|Minor concerns: patellar luxation, Legg–Perthes|Occasionally seen: diabetes, epilepsy, tracheal collapse, allergies, Cushing’s|Suggested tests: knee, eye|Life span: 11–14 years"
44,Dandie Dinmont,Border of Scotland and England,"8-11""",18-24 lb, 11–13 years,"The Dandie Dinmont is no “dandified” dog; it is rough and tumble and ready for the hunt. Yet it functions well as a dignified house pet, affectionate but not doting. It is a loyal companion suitable for people of all ages, but it does need daily exercise to keep it from becoming frustrated. It is intelligent and very independent. It tends to be reserved with strangers and aggressive toward strange dogs. Some dig.","|Major concerns: none|Minor concerns: intervertebral disk disease, glaucoma|Occasionally seen: none|Suggested tests: eye|Life span: 11–13 years"
45,Boston Bull,United States,"15-17""",10-25 lb, 10–14 years,"The Boston is devoted and sensitive to his family’s wishes and moods. This dog is well-mannered indoors but saucy and playful (especially enjoying ball chasing) whenever the chance arises. Somewhat stubborn, Bostons are nonetheless clever and learn readily. Thy are reserved with strangers, and some may be assertive toward strange dogs, and should be introduced carefully. Some bark a lot.","|Major concerns: none|Minor concerns: patellar luxation, stenotic nares, elongated soft palate, allergies|Occasionally seen: deafness, seizures, cataract, demodicosis|Suggested tests: knee, eye, hearing|Life span: 10–14 years|Note: This breed does not tolerate the heat and is sensitive to anesthesia. Bostons are prone to corneal abrasions. Caesarean deliveries are commonly needed."
46,Miniature Schnauzer,Germany,"12-14""",13-15 lb, 12–14 years,"The Miniature Schnauzer deserves their place as one of the most popular terrier pets. They are often playful, inquisitive, alert, spunky, and companionable. They are a well-mannered dog that also enjoys being in the middle of activities. They tend to be less domineering than the larger Schnauzers and may get along with other dogs more than most terriers. They are also better with other animals than most terriers, although they may gladly give chase. The Miniature Schnauzer is clever and can be stubborn, but they are generally biddable. They often enjoy children and some may bark a lot.","|Major concerns: urolithiasis, PRA|Minor concerns: Schnauzer comedo syndrome, vWD, myotonia congenita, allergies|Occasionally seen: cataract, retinal dysplasia, mycobacterium avian infection|Suggested tests: eye; DNA tests for: type A PRA, vWD, and myotonia congenita, cardiac|Life span: 12–14 years"
47,Giant Schnauzer,Germany,"23.5-27.5""",65-90 lb, 10–12 years,"The playful, rambunctious Giant Schnauzer may be too boisterous for small children, even though they are otherwise very good with children in their own family. They are bold and loyal to their family and reserved with strangers. They may be assertive toward other dogs. This intelligent and exuberant breed is a good choice for an active person wanting a partner in adventure, although at times the Giant may try to be the leader.","|Major concerns: CHD|Minor concerns: OCD, gastric torsion, hypothyroidism|Occasionally seen: PRA, cataract|Suggested tests: hip, thyroid, eye|Life span: 10–12 years"
